dataset,month,n,mean,sd,se,min,max,letter
bacteria_16S,0M,3,5.267643,0.583800,0.337057,4.597425,5.665426,a
bacteria_16S,1M,3,5.129062,0.344702,0.199014,4.746768,5.416168,a
bacteria_16S,2M,3,4.686967,0.541242,0.312486,4.098299,5.163084,a
bacteria_16S,3M,3,5.177831,0.950616,0.548838,4.091014,5.854632,a
bacteria_16S,4M,3,5.474173,0.353850,0.204296,5.065725,5.687754,a
bacteria_16S,5M,3,6.812355,0.235165,0.135773,6.543398,6.979225,a
bacteria_16S,6M,3,5.569219,0.325750,0.188072,5.290135,5.927157,a
colony_CFU,0M,3,4.637936,0.417266,0.240908,4.169674,4.970347,a
colony_CFU,1M,3,5.318881,0.050747,0.029299,5.264818,5.365488,ab
colony_CFU,2M,3,5.659164,0.047611,0.027488,5.604226,5.688420,abc
colony_CFU,3M,3,5.863880,0.266444,0.153832,5.639486,6.158362,bc
colony_CFU,4M,3,5.519288,0.058902,0.034007,5.477121,5.586587,abc
colony_CFU,5M,3,6.120480,0.080462,0.046455,6.035029,6.194792,c
fusarium,0M,3,-6.652608,0.294316,0.169924,-6.958897,-6.371939,a
fusarium,1M,3,0.885328,1.681535,0.970835,-0.944217,2.363248,bc
fusarium,2M,3,4.067776,0.263071,0.151884,3.849323,4.359801,c
fusarium,3M,3,-5.294363,0.236262,0.136406,-5.438746,-5.021710,ab
fusarium,4M,3,-5.401011,0.366922,0.211843,-5.617758,-4.977364,ab
fusarium,5M,3,0.799043,1.019611,0.588673,-0.342104,1.620503,bc
fusarium,6M,3,-4.743259,0.125458,0.072433,-4.828785,-4.599236,abc
